CODE,EXCHANGE,DATE,PRECLOSE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMOUNT,FLOAT_CAP,MARKET_CAP,PCT_CHANGE,TURNOVER,ID
000001,SZ,2020-01-02,16.45,16.65,16.95,16.55,16.87,153023187.0,2571196482.14,327375048049.0,327377840034.0,2.55,0.0079,000001.SZ
000002,SZ,2020-01-02,32.18,32.8,33.6,32.51,32.56,101213040.0,3342373870.6,316325935200.0,367997776080.0,1.18,0.0104,000002.SZ
000063,SZ,2020-01-02,35.39,35.66,35.8,35.13,35.45,101425488.0,3592989149.98,122975100613.55,149865933856.05,0.16999999999999998,0.0292,000063.SZ
000069,SZ,2020-01-02,7.79,7.86,7.93,7.74,7.78,77975869.0,610356161.99,54589769622.0,63815499792.0,-0.13,0.0111,000069.SZ
000100,SZ,2020-01-02,4.47,4.51,4.61,4.45,4.57,364974148.0,1661806864.81,58422170279.0,61824964859.0,2.2399999999999998,0.0285,000100.SZ
000157,SZ,2020-01-02,6.68,6.75,6.94,6.72,6.87,72029214.0,492951557.16,43674606853.38,54101077274.46,2.8400000000000003,0.0113,000157.SZ
000413,SZ,2020-01-02,3.36,3.38,3.43,3.35,3.39,172483803.0,584562844.89,16489486467.0,19425547839.0,0.89,0.0355,000413.SZ
000415,SZ,2020-01-02,3.8,3.83,3.88,3.81,3.82,23690100.0,91110250.04,13551055012.0,23624871366.0,0.53,0.0067,000415.SZ
000423,SZ,2020-01-02,35.37,35.5,35.85,35.3,35.54,3877127.0,137955134.92,23238443842.0,23243924110.0,0.48,0.0059,000423.SZ
000425,SZ,2020-01-02,5.47,5.55,5.96,5.54,5.8,179681147.0,1039073216.2,40571216920.0,45435276720.0,6.03,0.0257,000425.SZ
000538,SZ,2020-01-02,89.43,90.0,90.1,88.76,89.31,5386776.0,480415279.47,54386735598.0,114084888723.0,-0.13,0.0088,000538.SZ
000568,SZ,2020-01-02,86.68,86.0,86.6,83.68,85.45,16734111.0,1429489078.75,124765997885.0,125163101125.0,-1.4200000000000002,0.0115,000568.SZ
000596,SZ,2020-01-02,135.92,131.3,142.88,131.3,137.2,5021404.0,690189383.09,52629920000.0,69093920000.0,0.9400000000000001,0.0131,000596.SZ
000625,SZ,2020-01-02,10.03,10.38,10.87,10.21,10.8,66350931.0,695266628.41,42126949800.0,51868603800.0,7.68,0.017,000625.SZ
000627,SZ,2020-01-02,7.04,7.09,7.16,7.03,7.04,16414486.0,116516347.06,30294029568.0,34782029568.0,0.0,0.0038,000627.SZ
000629,SZ,2020-01-02,2.92,2.93,2.96,2.93,2.94,29904246.0,88020380.23,14015388660.0,25253853828.0,0.6799999999999999,0.0063,000629.SZ
000630,SZ,2020-01-02,2.33,2.36,2.37,2.33,2.34,101987652.0,240134673.0,22371706422.0,24632088156.0,0.43,0.0107,000630.SZ
000651,SZ,2020-01-02,65.58,65.99,68.09,65.9,67.9,46361443.0,3119667657.81,405357513680.0,408468128110.0,3.54,0.0078,000651.SZ
000656,SZ,2020-01-02,7.68,7.92,8.23,7.75,7.8,90963224.0,723400835.97,40928456400.0,41649783240.0,1.5599999999999998,0.0173,000656.SZ
000661,SZ,2020-01-02,447.0,453.0,453.32,441.95,442.4,2159454.0,959478989.93,75213308800.0,89524152480.0,-1.03,0.0127,000661.SZ
