Date,short_trigger,signal,short_pos,long_pos,bal_pos,long_4,long_5,long_6,long_7,short_1,short_2,short_3,short_4
2007/1/3,TRUE,0.5,25,75,"[23.75, 25.0, 25.0, 1.25, 7.919999999999998, 8.33, 8.33, 0.42]",23.75,25,25,1.25,7.92,8.33,8.33,0.42
2007/1/4,TRUE,0.5,50,77.5,"[23.260000000000005, 25.83, 25.83, 2.58, 14.989999999999995, 16.67, 16.67, 1.67]",23.26,25.83,25.83,2.58,14.99,16.67,16.67,1.67
2007/1/5,TRUE,0.5,75,80,"[22.659999999999997, 26.67, 26.67, 4.0, 21.25, 25.0, 25.0, 3.75]",22.66,26.67,26.67,4,21.25,25,25,3.75
2007/1/8,TRUE,0.5,75,82.5,"[22.0, 27.5, 27.5, 5.5, 20.0, 25.0, 25.0, 5.0]",22,27.5,27.5,5.5,20,25,25,5
2007/1/9,TRUE,0.5,75,85,"[21.260000000000005, 28.33, 28.33, 7.08, 18.75, 25.0, 25.0, 6.25]",21.26,28.33,28.33,7.08,18.75,25,25,6.25
2007/1/10,TRUE,0.5,75,87.5,"[20.409999999999997, 29.17, 29.17, 8.75, 17.5, 25.0, 25.0, 7.5]",20.41,29.17,29.17,8.75,17.5,25,25,7.5
2007/1/11,TRUE,0.5,75,87.5,"[18.94999999999999, 29.17, 29.17, 10.21, 16.25, 25.0, 25.0, 8.75]",18.95,29.17,29.17,10.21,16.25,25,25,8.75
2007/1/12,TRUE,0.5,75,87.5,"[17.489999999999995, 29.17, 29.17, 11.67, 15.0, 25.0, 25.0, 10.0]",17.49,29.17,29.17,11.67,15,25,25,10
2007/1/16,TRUE,0.5,75,87.5,"[16.039999999999992, 29.17, 29.17, 13.12, 13.75, 25.0, 25.0, 11.25]",16.04,29.17,29.17,13.12,13.75,25,25,11.25
2007/1/17,TRUE,0.5,75,87.5,"[14.579999999999998, 29.17, 29.17, 14.58, 12.5, 25.0, 25.0, 12.5]",14.58,29.17,29.17,14.58,12.5,25,25,12.5
2007/1/18,TRUE,0.5,75,87.5,"[13.120000000000005, 29.17, 29.17, 16.04, 11.25, 25.0, 25.0, 13.75]",13.12,29.17,29.17,16.04,11.25,25,25,13.75
2007/1/19,TRUE,0.5,75,87.5,"[11.659999999999997, 29.17, 29.17, 17.5, 10.0, 25.0, 25.0, 15.0]",11.66,29.17,29.17,17.5,10,25,25,15
2007/1/22,TRUE,0.5,75,87.5,"[10.199999999999989, 29.17, 29.17, 18.96, 8.75, 25.0, 25.0, 16.25]",10.2,29.17,29.17,18.96,8.75,25,25,16.25
2007/1/23,TRUE,0.5,75,87.5,"[8.739999999999995, 29.17, 29.17, 20.42, 7.5, 25.0, 25.0, 17.5]",8.74,29.17,29.17,20.42,7.5,25,25,17.5
2007/1/24,TRUE,0.5,75,87.5,"[7.280000000000001, 29.17, 29.17, 21.88, 6.25, 25.0, 25.0, 18.75]",7.28,29.17,29.17,21.88,6.25,25,25,18.75
2007/1/25,TRUE,0.5,75,87.5,"[5.829999999999998, 29.17, 29.17, 23.33, 5.0, 25.0, 25.0, 20.0]",5.83,29.17,29.17,23.33,5,25,25,20
2007/1/26,TRUE,0.5,75,87.5,"[4.3700000000000045, 29.17, 29.17, 24.79, 3.75, 25.0, 25.0, 21.25]",4.37,29.17,29.17,24.79,3.75,25,25,21.25
2007/1/29,TRUE,0.5,75,87.5,"[2.9099999999999966, 29.17, 29.17, 26.25, 2.5, 25.0, 25.0, 22.5]",2.91,29.17,29.17,26.25,2.5,25,25,22.5
2007/1/30,TRUE,0.5,75,87.5,"[1.4499999999999886, 29.17, 29.17, 27.71, 1.25, 25.0, 25.0, 23.75]",1.45,29.17,29.17,27.71,1.25,25,25,23.75
2007/1/31,TRUE,0.5,75,87.5,"[-0.010000000000005116, 29.17, 29.17, 29.17, 0.0, 25.0, 25.0, 25.0]",-0.01,29.17,29.17,29.17,0,25,25,25
2007/2/1,TRUE,,75,87.5,"[27.619999999999997, 29.17, 29.17, 1.54, 23.68, 25.0, 25.0, 1.32]",27.62,29.17,29.17,1.54,23.68,25,25,1.32
2007/2/2,TRUE,,75,85,"[25.360000000000007, 28.33, 28.33, 2.98, 22.369999999999997, 25.0, 25.0, 2.63]",25.36,28.33,28.33,2.98,22.37,25,25,2.63
2007/2/5,TRUE,,75,82.5,"[23.159999999999997, 27.5, 27.5, 4.34, 21.049999999999997, 25.0, 25.0, 3.95]",23.16,27.5,27.5,4.34,21.05,25,25,3.95
2007/2/6,TRUE,,75,80,"[21.049999999999997, 26.67, 26.67, 5.61, 19.740000000000002, 25.0, 25.0, 5.26]",21.05,26.67,26.67,5.61,19.74,25,25,5.26
2007/2/7,TRUE,,75,77.5,"[19.040000000000006, 25.83, 25.83, 6.8, 18.42, 25.0, 25.0, 6.58]",19.04,25.83,25.83,6.8,18.42,25,25,6.58
2007/2/8,TRUE,,75,75,"[17.11, 25.0, 25.0, 7.89, 17.11, 25.0, 25.0, 7.89]",17.11,25,25,7.89,17.11,25,25,7.89
2007/2/9,TRUE,,75,75,"[15.79, 25.0, 25.0, 9.21, 15.79, 25.0, 25.0, 9.21]",15.79,25,25,9.21,15.79,25,25,9.21
